客户号,客户姓名,证件号码,年龄,性别,婚姻状态,教育程度,职业类别,户籍,居住类型,车辆情况,保险缴纳,工作年限,个人年收入,信贷情况
0000999993800283,谢周堂,537938****03050636,38,男,未婚,高中,私营企业,上海,租房,无,无,20,10280,还在拖欠
0000999993800294,武素芙,442294****04238956,45,男,未婚,大专,外资企业,广东,租房,无,无,25,10280,还在拖欠
0000999993800307,殷香阳,431730****07148897,28,男,未婚,大专,私营企业,湖南,租房,无,无,8,10294,逾期还款
0000999993800318,王晓俏,641712****06026762,35,男,未婚,硕士及以上,私营企业,宁夏,租房,无,有,10,10294,逾期还款
0000999993800329,危堂劲,141053****10229044,28,男,未婚,硕士及以上,私营企业,山西,租房,无,有,3,10294,现在没有贷款
0000999993800330,雷劳,631373****07042454,44,女,未婚,本科,个体户,青海,租房,无,有,21,10294,现在没有贷款
0000999993800341,梁势欣,348492****07084693,36,男,未婚,本科,私营企业,安徽,租房,无,有,13,10294,现在没有贷款
0000999993800352,王西纪,421695****05254398,27,男,已婚,大专,私营企业,湖北,租房,无,无,7,10294,现在没有贷款
0000999993800363,莫凉偈,617637****12133498,28,男,未婚,大专,外资企业,陕西,租房,无,无,8,10294,现在没有贷款
0000999993800374,荀晨诵,504101****03020416,56,女,已婚,大专,外资企业,重庆,自购房,有,有,36,10294,逾期还款
0000999993800385,习星截,505062****01199823,25,男,未婚,本科,外资企业,重庆,租房,无,有,2,10294,逾期还款
0000999993800396,谭东录,212492****07226755,25,男,丧偶,大专,私营企业,辽宁,租房,无,无,5,10350,现在没有贷款
0000999993800409,伍江程,415673****03112947,31,男,未婚,本科,个体户,河南,租房,无,有,8,10350,现在没有贷款
0000999993800410,谷帕汛,532497****03286346,37,男,已婚,大专,私营企业,上海,租房,无,无,17,10350,现在没有贷款
0000999993800421,杨忠眉,501412****02254067,26,男,已婚,大专,其他企业,重庆,租房,无,无,6,10350,现在没有贷款
0000999993800432,彭广问,140426****04261768,32,男,未婚,本科,私营企业,山西,租房,无,有,9,10350,现在没有贷款
0000999993800443,章幼匕,469751****09139638,37,男,已婚,本科,个体户,海南,其他,无,有,14,10372,现在没有贷款
0000999993800454,龙茁挠,520318****09059323,27,男,已婚,高中,私营企业,贵州,租房,无,无,9,10372,现在没有贷款
0000999993800465,李闪赴,155509****08084781,23,男,未婚,本科,私营企业,内蒙古,自购房,有,有,0,10372,现在没有贷款
0000999993800476,王秀英,360000****07288497,29,男,未婚,本科,外资企业,江西,租房,无,有,6,10372,现在没有贷款
0000999993800487,李秀英,518287****06161844,36,男,已婚,高中,私营企业,四川,租房,无,无,18,10372,现在没有贷款
0000999993800498,萧牢掏,445352****06202874,31,男,未婚,初中及以下,私营企业,广东,租房,无,无,11,10373,还在拖欠
0000999993800501,梁饶静,639415****12036505,46,男,已婚,初中及以下,个体户,青海,租房,无,无,7,10373,还在拖欠
0000999993800512,喻弦芭,225667****09234070,46,女,未婚,高中,私营企业,吉林,其他,无,无,28,10373,现在没有贷款
0000999993800523,支导屯,146326****02128282,48,男,已婚,高中,私营企业,山西,租房,无,无,30,10373,现在没有贷款
0000999993800534,焦女欧,658083****04026430,34,男,未婚,大专,外资企业,北京,租房,无,无,14,10373,还在拖欠
0000999993800545,陶来辈,507730****05067233,24,男,未婚,大专,私营企业,重庆,租房,无,无,4,10375,还在拖欠
0000999993800556,黎队伟,149374****08243273,25,男,未婚,本科,外资企业,山西,租房,无,有,2,10375,现在没有贷款
0000999993800567,贡园亮,369676****12037198,26,男,已婚,本科,私营企业,江西,租房,无,有,3,10375,现在没有贷款
0000999993800578,段聘成,445442****01079976,34,女,已婚,本科,私营企业,广东,自购房,有,有,11,10375,现在没有贷款
0000999993800589,叶斜值,116007****09067871,36,女,离异,本科,外资企业,北京,其他,无,有,13,10375,现在没有贷款
0000999993800590,邢杖沦,112469****01211024,21,男,未婚,大专,私营企业,北京,其他,无,无,1,10375,现在没有贷款
0000999993800602,庄尚抖,348536****12031850,21,男,未婚,,私营企业,安徽,其他,无,无,1,10375,正在偿还
0000999993800613,那谀谷,334855****01201145,28,女,已婚,本科,私营企业,浙江,其他,无,有,5,10375,正在偿还
0000999993800624,丁逗子,323681****07162908,29,男,未婚,本科,私营企业,江苏,租房,无,有,6,10375,正在偿还
0000999993800635,浦救驶,539098****12037554,30,男,未婚,高中,私营企业,贵州,租房,无,无,12,10416,正在偿还
0000999993800646,喻喜济,314029****01243245,26,男,已婚,本科,外资企业,上海,租房,无,有,3,10416,正在偿还
0000999993800657,平僮促,330089****02149804,23,男,已婚,高中,外资企业,浙江,租房,无,无,5,10416,正在偿还
0000999993800668,龙才美,503309****09273749,35,男,离异,硕士及以上,私营企业,重庆,自购房,有,有,10,10416,正在偿还
0000999993800679,罗兴节,651899****02199806,23,男,未婚,大专,外资企业,北京,自购房,有,有,3,10416,正在偿还
0000999993800680,莫如想,136760****04042124,27,男,已婚,大专,国有企业,河北,租房,无,无,7,10416,正在偿还
0000999993800691,赵忧雌,468941****01039961,25,男,未婚,本科,私营企业,海南,自购房,有,有,2,10416,正在偿还
0000999993800704,施晓言,344898****10020813,21,男,未婚,高中,个体户,安徽,自购房,有,有,3,10416,正在偿还
0000999993800715,支菲美,375088****12048231,24,女,未婚,本科,私营企业,山东,自购房,有,有,1,10416,正在偿还
0000999993800726,燕图徽,523026****07314242,27,男,已婚,本科,私营企业,上海,租房,无,有,4,10472,正在偿还
0000999993800737,屈航云,147078****01144860,27,男,离异,大专,私营企业,山西,租房,无,无,7,10472,正在偿还
0000999993800748,符珠朴,504282****01099416,30,男,已婚,本科,个体户,重庆,其他,无,有,7,10472,正常还款
0000999993800759,郁耸赴,369282****06144229,30,女,已婚,大专,外资企业,江西,租房,无,无,10,10472,正在偿还
0000999993800760,韩山品,146744****12256273,30,女,离异,大专,其他企业,山西,自购房,有,有,10,10472,现在没有贷款
0000999993800771,骆燕抢,148726****02033125,23,男,未婚,高中,私营企业,山西,租房,无,无,5,10472,正在偿还
0000999993800782,空谭谷,439790****01153557,25,男,未婚,本科,私营企业,湖南,自购房,有,有,2,10472,正常还款
0000999993800793,谢藏咀,637156****07278211,28,女,已婚,大专,私营企业,青海,租房,无,无,8,10472,正在偿还
0000999993800806,仲何昂,237063****03040071,25,男,未婚,本科,个体户,黑龙江,租房,无,有,2,10472,还在拖欠
0000999993800817,辛帘同,312960****07242194,31,女,已婚,本科,私营企业,上海,租房,无,有,8,10550,现在没有贷款
0000999993800828,舒林静,657576****01133350,31,女,未婚,初中及以下,私营企业,北京,租房,无,无,29,10550,正在偿还
0000999993800839,沈奈贝,353976****05021361,31,女,已婚,本科,外资企业,福建,租房,无,有,8,10550,正在偿还
0000999993800840,支心位,529460****02118023,31,女,已婚,本科,私营企业,贵州,其他,无,有,8,10550,正常还款
0000999993800851,胡圆良,450585****07135909,36,女,未婚,本科,私营企业,广西,,无,有,13,10550,正在偿还
0000999993800862,景歌菩,624195****09032327,35,女,已婚,本科,私营企业,甘肃,其他,无,有,12,10550,现在没有贷款
0000999993800873,文萌沟,136283****01234041,40,女,已婚,初中及以下,个体户,河北,租房,无,无,26,10558,逾期还款
0000999993800884,体祥,110666****01126386,43,男,未婚,大专,其他企业,北京,租房,无,无,23,10558,还在拖欠
0000999993800895,王建,226634****06081472,51,女,未婚,大专,私营企业,吉林,租房,无,无,31,10558,还在拖欠
0000999993800908,顾丙新,133076****05162891,57,男,已婚,大专,国有企业,河北,租房,无,无,37,10558,还在拖欠
0000999993800919,王伟,229898****03259746,37,女,未婚,硕士及以上,私营企业,吉林,租房,无,有,12,10558,现在没有贷款
0000999993800920,魏传兰,505612****07228439,37,男,未婚,本科,个体户,重庆,自购房,有,有,14,10558,现在没有贷款
0000999993800931,潘千林,457899****11294480,40,男,已婚,本科,个体户,广西,租房,无,有,17,10558,现在没有贷款
0000999993800942,殷伟,611459****11112621,41,男,未婚,本科,私营企业,陕西,自购房,有,有,18,10558,现在没有贷款
0000999993800953,吉林,149664****11053985,43,男,已婚,本科,私营企业,山西,自购房,有,有,20,10558,现在没有贷款
0000999993800964,吉海军,523465****01033063,25,男,已婚,本科,私营企业,贵州,租房,无,有,2,10593,现在没有贷款
0000999993800975,王迎松,222571****08211487,25,男,未婚,本科,私营企业,吉林,租房,无,有,2,10593,现在没有贷款
0000999993800986,顾春华,451269****06028334,25,男,未婚,本科,私营企业,广西,租房,无,有,2,10593,现在没有贷款
0000999993800997,李明,510711****07033640,31,男,已婚,本科,外资企业,四川,其他,无,有,8,10593,现在没有贷款
0000999993801005,于永法,447562****12072127,26,女,已婚,本科,外资企业,广东,自购房,有,有,3,10593,正在偿还
0000999993801016,王红春,655953****03117972,31,男,已婚,本科,个体户,北京,租房,无,有,8,10634,正常还款
0000999993801027,汪玪芳,158870****03235074,43,女,未婚,本科,私营企业,内蒙古,租房,无,有,20,10634,正在偿还
0000999993801038,张燕,111742****08194039,48,男,已婚,本科,私营企业,北京,自购房,有,有,25,10634,现在没有贷款
0000999993801049,王礼顺,225598****08231572,26,女,未婚,硕士及以上,外资企业,吉林,租房,无,有,1,10634,正在偿还
0000999993801050,吉建宇,440725****07317936,50,女,离异,本科,私营企业,广东,租房,无,有,27,10634,还在拖欠
0000999993801061,魏伟,334026****04074902,30,男,已婚,初中及以下,私营企业,浙江,租房,无,无,13,10656,逾期还款
0000999993801072,张明,317774****02158557,40,女,未婚,初中及以下,私营企业,上海,租房,无,无,15,10656,还在拖欠
0000999993801083,孙燕,142573****03230797,37,男,已婚,本科,私营企业,山西,租房,无,有,14,10656,现在没有贷款
0000999993801094,吴亚娟,156550****11223095,40,男,已婚,硕士及以上,私营企业,内蒙古,租房,无,有,15,10656,现在没有贷款
0000999993801107,陈思,150446****02114365,25,男,未婚,本科,私营企业,内蒙古,租房,无,有,2,10656,现在没有贷款
0000999993801118,王雅莹,646679****09118953,33,男,未婚,初中及以下,个体户,宁夏,租房,无,无,19,10656,现在没有贷款
0000999993801129,丁黎明,418319****04013548,30,女,未婚,初中及以下,个体户,河南,其他,无,无,27,10656,现在没有贷款
0000999993801130,王瑶,114736****12241754,25,女,未婚,本科,个体户,北京,租房,无,有,2,10656,还在拖欠
0000999993801141,祁兰兰,432032****09219002,27,女,未婚,硕士及以上,私营企业,湖南,其他,无,有,2,10656,还在拖欠
0000999993801152,周春丽,347478****07238652,34,女,已婚,硕士及以上,私营企业,安徽,其他,无,有,9,10730,现在没有贷款
0000999993801163,徐晓艳,444707****07269332,40,女,未婚,本科,私营企业,广东,其他,无,有,17,10730,现在没有贷款
0000999993801174,丁玪,152844****04130302,23,男,未婚,高中,个体户,内蒙古,租房,无,无,5,10730,现在没有贷款
0000999993801185,陈刚,546177****05262079,25,男,未婚,本科,私营企业,北京,租房,无,有,2,10730,正在偿还
0000999993801196,徐松宁,650940****06057535,25,女,未婚,本科,私营企业,北京,其他,无,有,2,10730,正常还款
0000999993801209,田苗苗,543731****01288271,25,女,未婚,本科,私营企业,广东,租房,无,有,2,10735,正在偿还
0000999993801210,于霞,458240****05097369,25,女,未婚,高中,私营企业,广西,租房,无,无,7,10735,现在没有贷款
0000999993801221,郁丽萍,628290****10295725,28,女,未婚,硕士及以上,外资企业,甘肃,租房,无,有,3,10735,正在偿还
0000999993801232,高正洪,370511****02284386,25,男,未婚,本科,私营企业,山东,自购房,有,有,2,10735,正在偿还
0000999993801243,陈峰,417394****06303497,25,男,未婚,本科,外资企业,河南,自购房,有,有,2,10735,正常还款
0000999993801254,康艳,651163****09257039,25,男,未婚,本科,个体户,广东,租房,无,有,2,10805,正在偿还
0000999993801265,牛东林,239354****01149998,27,男,已婚,本科,个体户,黑龙江,租房,无,有,4,10805,现在没有贷款
0000999993801276,张卫,239145****02128575,29,女,未婚,高中,外资企业,黑龙江,自购房,有,有,11,10805,现在没有贷款
0000999993801287,杨玉荣,457007****12124784,29,男,离异,本科,国有企业,广西,自购房,有,有,6,10805,现在没有贷款
0000999993801298,潘晓燕,233828****04169533,32,女,未婚,初中及以下,私营企业,黑龙江,租房,无,无,19,10805,现在没有贷款
0000999993801301,张海荣,114588****07110485,32,男,未婚,高中,外资企业,北京,租房,无,无,14,10805,现在没有贷款
0000999993801312,徐丽利,229573****02095426,33,女,未婚,硕士及以上,其他企业,吉林,租房,无,有,8,10810,现在没有贷款
0000999993801323,张玪,645881****02135062,41,男,已婚,初中及以下,私营企业,宁夏,租房,无,无,32,10810,现在没有贷款
0000999993801334,顾伟伟,448711****11200438,33,女,未婚,本科,私营企业,广东,租房,无,有,10,10810,现在没有贷款
0000999993801345,曹卫锋,231791****02185022,42,男,未婚,大专,国有企业,黑龙江,自购房,有,有,22,10810,现在没有贷款
0000999993801356,张丽丽,366939****08053507,48,男,已婚,本科,私营企业,江西,租房,无,有,25,10810,现在没有贷款
0000999993801367,沈继华,218522****02222981,32,男,离异,高中,外资企业,辽宁,租房,无,无,14,10812,还在拖欠
0000999993801378,许芹,417371****07151067,49,男,未婚,本科,个体户,河南,租房,无,有,26,10812,正常还款
0000999993801389,蒋忠华,368304****09158214,53,男,已婚,本科,私营企业,江西,租房,无,有,30,10812,正在偿还
0000999993801390,乔杰,131014****01235562,58,男,未婚,本科,私营企业,河北,租房,无,有,35,10812,现在没有贷款
0000999993801403,郑小慧,529405****04131754,60,男,未婚,初中及以下,私营企业,贵州,其他,无,无,10,10812,正在偿还
0000999993801414,李磊,155604****06242199,21,女,未婚,初中及以下,个体户,内蒙古,租房,无,无,26,10812,正在偿还
0000999993801425,朱淑萍,358265****09091634,21,男,未婚,初中及以下,其他企业,福建,其他,无,无,42,10812,正常还款
0000999993801436,张同军,120360****03187560,21,男,未婚,高中,私营企业,天津,其他,无,无,3,10812,正在偿还
0000999993801447,王凯,213260****03102178,32,女,已婚,大专,国有企业,辽宁,其他,无,无,12,10812,现在没有贷款
0000999993801458,孙雅芹,229725****08079721,25,男,未婚,大专,国有企业,吉林,租房,无,无,5,10849,还在拖欠
0000999993801469,万海亚,311640****09063694,21,女,未婚,高中,私营企业,上海,租房,无,无,3,10849,还在拖欠
0000999993801470,汪黎,131981****03098330,32,男,已婚,大专,个体户,河北,租房,无,无,12,10849,还在拖欠
0000999993801481,贾林,155472****05291824,24,男,未婚,本科,其他企业,内蒙古,租房,无,有,1,10849,现在没有贷款
0000999993801492,侯中银,445604****08234419,33,女,已婚,本科,私营企业,广东,自购房,有,有,10,10849,现在没有贷款
0000999993801505,陈开郦,375412****06225141,24,男,未婚,本科,私营企业,山东,租房,无,有,1,10849,现在没有贷款
0000999993801516,程建,522004****02112172,42,男,已婚,本科,私营企业,贵州,租房,无,有,19,10849,现在没有贷款
0000999993801527,葛娟娟,411473****02200892,46,女,未婚,本科,外资企业,河南,租房,无,有,23,10849,现在没有贷款
0000999993801538,马玉娟,423281****02179085,49,男,已婚,本科,外资企业,湖北,租房,无,有,26,10849,正在偿还
0000999993801549,黄金刚,611076****05077881,52,女,未婚,大专,私营企业,陕西,租房,无,无,32,10860,逾期还款
0000999993801550,田洪昌,373620****01272193,59,男,已婚,大专,私营企业,山东,自购房,有,有,39,10860,正在偿还
0000999993801561,李海燕,137340****04212113,24,女,未婚,本科,私营企业,河北,租房,无,有,1,10860,正在偿还
0000999993801572,孙海芹,534160****07186802,24,女,未婚,本科,私营企业,贵州,租房,无,有,1,10860,正在偿还
0000999993801583,朱建军,535868****06188220,34,女,已婚,本科,外资企业,贵州,自购房,有,有,11,10860,正常还款
0000999993801594,管伏芹,116601****02245393,35,女,已婚,本科,私营企业,北京,自购房,有,有,12,10860,正在偿还
0000999993801606,付其龙,538748****07098998,24,女,未婚,本科,私营企业,贵州,租房,有,有,1,10900,现在没有贷款
0000999993801617,潘艳,157493****11243292,40,女,未婚,本科,国有企业,内蒙古,租房,无,有,17,10900,正在偿还
0000999993801628,刘海明,111448****09302818,56,女,已婚,本科,外资企业,北京,租房,无,有,33,10900,正常还款
0000999993801639,潘恩余,456111****01182641,24,男,未婚,大专,私营企业,广西,自购房,有,有,4,10900,正在偿还
0000999993801640,陈坤,374014****03013705,27,男,未婚,本科,外资企业,山东,租房,无,有,4,10900,现在没有贷款
0000999993801651,潘国秀,461882****12094496,37,,离异,本科,私营企业,海南,自购房,有,有,14,10900,正在偿还
0000999993801662,蔡立猛,457354****12152390,43,男,未婚,本科,私营企业,广西,租房,无,有,20,10900,正在偿还
0000999993801673,王洪生,337561****09120625,70,女,未婚,本科,外资企业,浙江,租房,无,有,47,10900,正常还款
0000999993801684,汪红军,518297****07037037,36,男,离异,本科,私营企业,四川,自购房,有,有,13,10900,正在偿还
0000999993801695,施建山,363278****10194418,21,男,未婚,初中及以下,个体户,江西,其他,无,无,7,10944,还在拖欠
0000999993801708,王艳,139526****02062519,27,男,未婚,初中及以下,私营企业,河北,租房,无,无,11,10944,还在拖欠
0000999993801719,张国明,235654****01020710,30,男,未婚,高中,私营企业,黑龙江,租房,无,无,12,10944,还在拖欠
0000999993801720,程森林,333210****02166588,24,男,未婚,本科,国有企业,浙江,其他,无,有,1,10944,现在没有贷款
0000999993801731,米垠松,452564****05171863,29,男,已婚,本科,私营企业,广西,自购房,有,有,6,10944,现在没有贷款
0000999993801742,朱艳,426885****06052515,33,男,未婚,本科,私营企业,湖北,租房,无,无,10,10944,现在没有贷款
0000999993801753,于永刚,468755****06178829,37,女,离异,本科,私营企业,海南,租房,无,无,14,10944,现在没有贷款
0000999993801764,朱晓林,156154****09159441,43,男,未婚,本科,外资企业,内蒙古,租房,无,有,20,10944,现在没有贷款
0000999993801775,宋海波,335470****02054501,24,男,未婚,本科,私营企业,浙江,租房,无,有,1,10944,现在没有贷款
0000999993801786,刘晓云,374523****03042572,36,男,未婚,初中及以下,私营企业,山东,租房,无,无,20,10944,现在没有贷款
0000999993801797,高晓东,319507****05069746,36,男,已婚,本科,个体户,上海,租房,无,有,13,10944,正在偿还
0000999993801800,周远航,542139****12252197,24,男,未婚,本科,外资企业,广东,租房,无,有,1,11028,正常还款
0000999993801811,芮井云,363541****10198396,37,男,已婚,本科,私营企业,江西,租房,无,有,14,11028,正在偿还
0000999993801822,吴玲,448869****11231171,38,男,已婚,本科,私营企业,广东,租房,无,有,15,11028,现在没有贷款
0000999993801833,刘阿荣,136603****09013114,24,男,未婚,本科,私营企业,河北,自购房,有,有,1,11028,正在偿还
0000999993801844,梁红霞,630206****07265966,28,女,已婚,本科,私营企业,青海,自购房,有,有,5,11028,现在没有贷款
0000999993801855,冯兵,230004****12123395,30,男,已婚,硕士及以上,私营企业,黑龙江,租房,无,有,5,11102,现在没有贷款
0000999993801866,仰倩,536414****02282796,40,男,未婚,本科,私营企业,上海,自购房,有,有,17,11102,现在没有贷款
0000999993801877,贺丰林,374550****01063783,46,女,已婚,本科,私营企业,山东,租房,无,有,23,11102,现在没有贷款
0000999993801888,胥中银,132040****04211167,24,男,未婚,大专,个体户,河北,租房,无,无,4,11102,现在没有贷款
0000999993801899,相焕应,437998****02287810,21,男,未婚,初中及以下,私营企业,湖南,租房,无,无,32,11102,现在没有贷款
0000999993801902,宋伟,530730****04194399,25,男,未婚,大专,外资企业,贵州,自购房,有,有,5,11102,现在没有贷款
0000999993801913,丁立军,623407****04024389,25,女,未婚,本科,私营企业,甘肃,租房,无,有,2,11102,现在没有贷款
0000999993801924,江恒林,140964****05103630,21,女,未婚,初中及以下,其他企业,山西,自购房,有,有,14,11102,正在偿还
0000999993801935,徐海鹏,332146****06193481,25,女,未婚,大专,私营企业,浙江,租房,无,无,5,11102,正常还款
0000999993801946,潘天化,509471****11033432,30,男,未婚,高中,私营企业,重庆,租房,无,无,12,11167,逾期还款
0000999993801957,吴红英,430144****11226103,25,男,已婚,大专,私营企业,湖南,自购房,有,有,5,11167,现在没有贷款
0000999993801968,顾青青,523764****12283281,28,男,已婚,高中,私营企业,贵州,租房,无,无,10,11167,正在偿还
0000999993801979,王海丽,155689****08087488,25,男,未婚,大专,私营企业,内蒙古,自购房,有,有,5,11167,正在偿还
0000999993801980,贾建刚,113476****01044344,34,女,已婚,大专,外资企业,北京,租房,无,无,14,11180,正常还款
0000999993801991,张玲,614535****04020584,35,女,已婚,本科,个体户,陕西,其他,无,有,12,11180,正在偿还
0000999993802009,彭海宁,315840****04198223,37,男,已婚,大专,外资企业,上海,租房,无,无,17,11180,现在没有贷款
0000999993802010,王兴山,356787****10195335,37,女,未婚,大专,其他企业,福建,自购房,有,有,17,11180,现在没有贷款
0000999993802021,金海,338395****01309526,30,男,已婚,本科,私营企业,浙江,租房,无,有,7,11180,现在没有贷款
0000999993802032,徐云云,124333****10162024,60,男,未婚,大专,其他企业,天津,租房,无,无,40,11230,还在拖欠
0000999993802043,汤蓉蓉,657162****12169385,52,男,已婚,大专,私营企业,广东,自购房,有,有,32,11230,现在没有贷款
0000999993802054,王玉婷,628054****11247437,57,男,未婚,本科,私营企业,甘肃,租房,无,有,34,11230,现在没有贷款
0000999993802065,钱青松,364178****03080596,39,男,已婚,大专,国有企业,江西,租房,无,无,19,11230,现在没有贷款
0000999993802076,顾明明,513782****11301791,21,男,未婚,大专,私营企业,四川,租房,无,无,1,11230,现在没有贷款
0000999993802087,吕振云,122406****12232997,26,女,已婚,本科,私营企业,天津,租房,无,有,3,11278,现在没有贷款
0000999993802098,别海英,362598****08148616,46,女,未婚,大专,其他企业,江西,租房,无,无,26,11278,现在没有贷款
0000999993802101,陈海波,211139****01227440,19,男,未婚,初中及以下,私营企业,辽宁,租房,有,无,34,11278,正常还款
0000999993802112,徐海燕,137288****08077216,25,女,未婚,本科,个体户,河北,租房,无,有,2,11278,正在偿还
0000999993802123,郑玲玲,650467****12105348,28,女,未婚,大专,私营企业,广东,自购房,有,有,8,11278,现在没有贷款
0000999993802134,陈玉路,637174****11262159,41,男,离异,高中,私营企业,青海,租房,无,无,23,11280,还在拖欠
0000999993802145,林燕,331120****10319945,25,男,未婚,大专,外资企业,浙江,租房,无,无,5,11280,还在拖欠
0000999993802156,周海梅,546831****03044148,38,男,未婚,初中及以下,个体户,广东,自购房,有,有,11,11280,正常还款
0000999993802167,梁玉梅,518627****01300517,31,男,未婚,本科,私营企业,四川,自购房,有,有,8,11280,正在偿还
0000999993802178,张红虹,156082****09091191,40,男,已婚,本科,国有企业,内蒙古,自购房,有,有,17,11280,现在没有贷款
0000999993802189,刘艳,316474****05166766,30,女,未婚,高中,私营企业,上海,租房,无,无,12,11280,现在没有贷款
0000999993802190,孙远,531543****10143729,26,男,已婚,大专,私营企业,上海,自购房,有,有,6,11320,现在没有贷款
0000999993802203,王芳,311749****02114374,32,男,已婚,本科,外资企业,上海,租房,无,有,9,11320,现在没有贷款
0000999993802214,王戈武,525668****06197327,47,女,已婚,本科,私营企业,贵州,自购房,有,有,24,11320,现在没有贷款
0000999993802225,管言方,651610****02046767,51,男,已婚,本科,私营企业,北京,租房,无,有,28,11320,现在没有贷款
0000999993802236,左彩凤,368314****09119545,59,女,未婚,本科,私营企业,江西,租房,无,有,36,11320,正在偿还
0000999993802247,刘红,466135****04054692,18,女,未婚,初中及以下,私营企业,海南,其他,无,无,40,11320,正在偿还
0000999993802258,孙月玲,317777****04100665,25,女,未婚,本科,私营企业,上海,租房,无,有,2,11320,正在偿还
0000999993802269,单伟伟,448984****10064036,25,女,未婚,本科,私营企业,广东,租房,无,有,2,11320,正在偿还
0000999993802270,王勋,334758****10151516,23,男,未婚,本科,个体户,浙江,租房,无,有,0,11320,正在偿还
0000999993802281,季红梅,131016****02159939,34,男,未婚,本科,其他企业,河北,自购房,有,有,11,11787,正常还款
0000999993802292,解建萍,121751****12224347,34,男,未婚,初中及以下,私营企业,天津,自购房,有,有,16,11787,正在偿还
0000999993802305,王梅,644370****02100956,48,男,未婚,本科,个体户,宁夏,租房,无,有,25,11787,现在没有贷款
0000999993802316,张年弟,147623****07138272,31,女,未婚,本科,个体户,山西,租房,无,有,8,11787,正在偿还
0000999993802327,孙强盛,462604****04126914,45,男,已婚,硕士及以上,私营企业,海南,其他,无,有,20,11787,正常还款
0000999993802338,潘龙迅,313273****06291751,23,男,未婚,大专,私营企业,上海,租房,无,无,3,12144,正在偿还
0000999993802349,乔国红,626121****10286308,23,男,未婚,大专,私营企业,甘肃,租房,无,无,3,12144,现在没有贷款
